X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
68.8303187330757,38.56085339123,"4597615791",node,9.375,doctors,,Прием граждан завода,,,,,,,,,,,,,,,,,,,,,,,,45019974,1,2017/01/09 08:07:12+00,2eb748f92b5c4a44835252e392e60f65
68.7913948511185,38.5757482846264,"5750490437",node,9.375,pharmacy,,Аптека No. 5,,,,,,,,,,,,,,,,,,,,,,,,60556745,1,2018/07/10 01:47:48+00,5937020797f14a8aa0455a3ee14218cc
68.3305454932411,38.512949892584,"6297186385",node,9.375,hospital,,Больница калхоз ленин,,,,,,,,,,,,,,,,,,,,,,,,67490038,1,2019/02/23 10:17:43+00,bdd4340485184ee7a6e8e966e5e11ab8
,,"657765528",way,21.875,clinic,clinic,Заводская Клиника,,,general,,,,,,,,,,,,,,,,,,,"735000",Турсунзаде,92765347,4,2020/10/20 11:36:20+00,f814aea5a4fa4b2d9275b86a047770a2
70.1671514877046,37.8893000866528,"6586550879",node,9.375,pharmacy,,Дорухона,,,,,,,,,,,,,,,,,,,,,,,,71859146,1,2019/07/03 12:59:56+00,62fe9de7b7a7467e98d08194c704cc1a
68.7830228385908,37.837939472043,"7627970085",node,9.375,pharmacy,,вптекаи эшони Махмад,,,,,,,,,,,,,,,,,,,,,,,,86749369,1,2020/06/17 04:36:17+00,0ba076aad9274453855134e08a736dbd
68.8005626415336,38.5582920492583,"6549013919",node,18.75,pharmacy,pharmacy,,,,,,,Mo-Fr 08:00-21:00,,,,,yes,,,,,,,,,,,,Душанбе,72379452,2,2019/07/18 08:52:53+00,7dfce0257edf4165b08235a15d958172
68.7605394729752,38.584843320122,"9768694713",node,12.5,clinic,clinic,Ecomed,,,,,,,,,,,,,,,,,,,,,,,,121455490,1,2022/05/25 05:35:43+00,d2dbd0a712d84d2d9493ea8df46c59e2
69.8145693291007,37.9608888320104,"12584979718",node,6.25,,doctor,,,,,,,,,,,,,,,,,,,,,,,,,162934426,2,2025/02/25 14:20:52+00,71072dabbc964dadb5d578f1d0b1692c
71.6513976954555,37.8467688850269,"3949484140",node,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,36609789,1,2016/01/16 08:17:44+00,0e8a293552c347b9b9c19e4c95a612d1
72.3834790697815,37.0060454727174,"12089907785",node,12.5,doctors,doctor,Маркази саломатии деҳоти Вранг,,,,,,,,,,,,,,,,,,,,,,,,154758745,1,2024/08/03 04:27:40+00,0242fd70bbaf4f98acf6a2ed15cbbf99
68.2277536883965,38.513250970546,"6766046875",node,12.5,hospital,hospital,Табибон,,,,,,,,,,,,,,,,,,,,,,,,73996466,1,2019/09/02 11:21:30+00,3bf4837c7ade43449777b4996f5c3844
,,"388690035",way,12.5,hospital,,МДЦ,,,,,,,,,,,,,,,,,,,,"1",,,,54950624,2,2017/12/27 09:46:15+00,e2e6e66b48e84de3a24c55d97965a30c
68.7990130790939,38.5616872229577,"6549034393",node,15.625,pharmacy,pharmacy,,,,,,,,,,,,yes,,,,,,,,,,,,Душанбе,72379452,2,2019/07/18 08:52:53+00,28885ccc404c41c4b4e78fec6f62c7e4
