school_id,school_name,school_lon,school_lat,nearest_hospital_dist,nearest_clinic_dist,nearest_pharmacy_dist,nearest_any_facility_dist,nearest_facility_type,nearest_facility_name,hospitals_within_5km,clinics_within_5km,total_facilities_within_10km,weighted_access_score,access_risk_category
44,Мактаби №14,68.7872716,38.6048217,0.002476922342572979,0.004541490019682332,0.0038456038779169366,0.002476922342572979,hospital,Маркази ташхиси табобатии Донишгоҳи давлатии тиббии Тоҷикистон,25,10,185,0.04570346426849586,Low Risk
45,,68.7853715,38.6089497,0.004765639378306049,0.0072487591119071715,0.0010097734443182795,0.0010015421762073918,doctors,Medical center TAU,21,8,185,0.0260100769474464,Low Risk
46,Мактаби №34,68.7845193,38.6074396,0.0031476059183243896,0.005614515167325961,0.00208963248527281,0.0016560659603352774,doctors,Medical center TAU,23,8,185,0.03146536731720942,Low Risk
47,Средне - общеобразовательная школа 39,68.8224349,38.565853,0.008467606909469688,0.008171680884496236,0.004047176383232731,0.004047176383232731,pharmacy,Дорухона,19,7,188,0.07066477693309664,Low Risk
48,Школа №23,68.8209101,38.5604495,0.0069535020535125185,0.008219777283389025,0.0026379502934118894,0.0026379502934118894,pharmacy,Дорухона,18,6,188,0.06357829586916154,Low Risk
49,Средняя школа номер 30,67.6115274,39.4913806,0.2425010898170913,0.8295413344953666,0.020859603780947727,0.020859603780947727,pharmacy,Панчфарм,0,0,1,8.032127228114234,High Risk
50,Школа №54,68.7478926,38.5800653,0.0077823728809501835,0.0135193517720693,0.0013546712884725802,0.0013546712884725802,pharmacy,Сифат Фарм,27,9,191,0.06495841618384293,Low Risk
51,Школа #54,68.7479374,38.579861,0.00774691168235949,0.013551227142597861,0.0012882259730549474,0.0012882259730549474,pharmacy,Сифат Фарм,27,9,191,0.06549353044811997,Low Risk
67,Мактаби №93,68.7262502,38.5863972,0.0077897038485191935,0.012216149739647268,0.002232053058502607,0.002232053058502607,pharmacy,Аптека,9,3,182,0.1001761840737008,Low Risk
68,Мактаби №93,68.7264581,38.5864672,0.0076643106794797265,0.012427580391185604,0.002438922606559532,0.002438922606559532,pharmacy,Аптека,9,3,182,0.09999253090535476,Low Risk
69,Саманд Школа,68.7995995,38.5721385,0.005939448080051361,0.008449198224734921,0.0020709249725135346,0.0020709249725135346,pharmacy,Camcon,28,10,192,0.06965645346076099,Low Risk
