name,name:en,amenity,building,operator:type,capacity:persons,addr:full,addr:city,source,name:tg,osm_id,osm_type,healthcare_distance_risk,healthcare_capacity_risk,road_condition_risk,infrastructure_age_risk,environmental_risk,nearest_overall_dist,nearest_facility_type,nearest_facility_name,facilities_within_5km,facilities_within_10km,emergency_access_score,composite_risk_score,risk_category,priority_rank,ccri_supplement_ready,analysis_date,country,facility_access_group
Мактаби N71,,school,,,,,,,,4585685402,nodes,0.002295867707932405,0.989247311827957,0.06639906500776094,0.40049976646145397,0.14800008143115428,0.0012975375601503682,doctors,,2.0,2.0,0.9740492487969926,0.2827277513560838,Medium-Low Risk,197.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Мактаби №136 Рабиев Гани,,school,,,,,,,,4730375713,nodes,0.03893530623018226,0.9838709677419355,0.4044645288665455,0.5350963751556529,0.16947324315157977,0.019057852807173353,doctors,,1.0,3.0,0.618842943856533,0.4002558013765142,Medium-Low Risk,151.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
School #11,,school,,,,,,,,4863321926,nodes,0.006264501462113696,0.9838709677419355,0.8565284776517489,0.6433333333333333,0.4958470419068277,0.0032212620880640113,doctors,,3.0,3.0,0.9355747582387197,0.5343912405684055,Medium-High Risk,83.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Мактаби №14,,school,,,,,,,Мактаби №14,3785754990,nodes,0.016726299965420886,0.9408602150537635,0.8565284776517489,0.6433333333333333,0.4958470419068277,0.011056576773130737,clinic,,9.0,11.0,0.7788684645373853,0.5294507195069287,Medium-High Risk,87.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3955113554,nodes,0.004327497365100839,0.9731182795698925,0.716824529914035,0.6311111111111112,0.20060694934646425,0.002282333851572821,doctors,,2.0,5.0,0.9543533229685436,0.48004142660426247,Medium-Low Risk,117.0,True,2025-06-17T13:08:11.477365,Tajikistan,4-5
,,school,,,,,,,,3953031333,nodes,0.0017826057872158655,0.9838709677419355,0.9419281933352318,0.6628571428571429,0.3401987582404257,0.001048742985673398,doctors,,3.0,3.0,0.9790251402865321,0.5493186632483134,Medium-High Risk,64.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Школа Билярда Пойтахт,,school,,,,,,,,5500390121,nodes,0.021533051712557195,0.9731182795698925,0.03822698909432842,0.3857192222539464,0.11281618849621643,0.01062241987731926,doctors,,5.0,5.0,0.7875516024536148,0.2752156640498584,Medium-Low Risk,206.0,True,2025-06-17T13:08:11.477365,Tajikistan,4-5
Гимназия,,school,,,,,,,,9774274794,nodes,0.1564495779109966,0.9946236559139785,0.03949970910195627,0.28578076608736314,0.11323736079841001,0.07602080298470272,doctors,Doctor's Surgery,0.0,1.0,0.0,0.31208599368015855,Medium-Low Risk,187.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
dreamland,,school,,,,,,,,6549108649,nodes,0.04814050397960457,0.967741935483871,0.044277937801269374,0.3460830996285691,0.11325563438251347,0.023519908464539573,doctors,,2.0,6.0,0.5296018307092085,0.27904229460336416,Medium-Low Risk,200.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3953520313,nodes,0.12174782273801951,0.9946236559139785,0.786502771939746,0.62,0.2153257728602976,0.0591997452296059,doctors,Doctor's Surgery,0.0,1.0,0.0,0.5419284507690539,Medium-High Risk,75.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
,,school,,,,,,,,3953367171,nodes,0.016973157282695335,0.9946236559139785,0.8185206044725603,0.62,0.2778442940536648,0.00841209226767777,doctors,,1.0,1.0,0.8317581546464446,0.5163877020525623,Medium-High Risk,96.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
,,school,,,,,,,,3946147418,nodes,0.14800231323551022,0.9946236559139785,0.8572026115291064,0.6311111111111112,0.2613816278200408,0.11987690314259128,hospital,Роддом,0.0,1.0,0.0,0.5727619417551696,Medium-High Risk,42.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
Школа №6 Имени Абдулгани Мирзоев,,school,,,,,,,,4714950899,nodes,0.004391196751827298,0.7096774193548387,0.712667364909018,0.7266666666666667,0.3526925405922423,0.003084281326337737,clinic,УЗИ Ятимов,50.0,54.0,0.9383143734732453,0.4482738709909739,Medium-Low Risk,134.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
№5,,school,,,,,,,,1111417534,nodes,0.2220108706074985,1.0,0.13518878119360844,0.36149152779202953,0.1613665892030233,0.1796674532036364,hospital,,0.0,0.0,0.0,0.37379305863998213,Medium-Low Risk,162.0,True,2025-06-17T13:08:11.477365,Tajikistan,
Мактаби №49,,school,,,,,,,,1217178229,nodes,0.009893404597735895,0.9946236559139785,0.09798390008802782,0.392998869544898,0.14023167505642353,0.008300513749158795,hospital,Беморхонаи марказии н.Гончи,1.0,1.0,0.8339897250168241,0.2928448119985661,Medium-Low Risk,193.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
